Mischa Webley,The Kill Hole (2012)
Rustam Branaman,Any Day (2015),Project Solitude (2009),The Culling (2015)
Fosco Dubini,Die Reise nach Kafiristan (2001)
Charlie (I) Nguyen,Bui Doi Cho Lon (2013),De Mai Tinh (2010),Dong mau anh hung (2007),Teo Em (2013)
Márcio Loureiro,Ruas Rivais (2014)
Vladimir (III) Vinogradov,Glukhar v kino (2010),Laskovyy may (2009)
Rob (II) Fox,Last Comic Standing (2003)
Robert Cannan,Three Miles North of Molkom (2008)
Todd (I) Berger,It's a Disaster (2012),The Scenesters (2009)
Kathrine Windfeld,Flugten (2009),Hamilton: I nationens intresse (2012),Kronprinsessan (2006),Kungamordet (2008)
Fina (I) Torres,Habana Eva (2010)
Zhi-Jian Xu,Prinzessin Lillifee (2009)
Keith (I) Walley,Scared (2002),Speck (2002)
Ricardo de Montreuil,La mujer de mi hermano (2005),Máncora (2008),The Raven (2010/I)
Thomas Cappelen Malling,Kommandør Treholt & ninjatroppen (2010),The ABCs of Death (2012)
Carlo (I) Fusco,Sins Expiation (2012)
Kunitoshi Okajima,Hikaru no go (2001)
Matthew (III) Berkowitz,Wild in Blue (2014)
Woo-Seong Lim,Chaesikjuuija (2009)
Lisa James-Larsson,Ego (2013/I)
Robert (II) Krause,Blood Trails (2006)
Marty Murray,Paranormal Island (2014)
Anna Brownfield,The Band (2009)
Ravi K. Chandran,Yaan (2014)
Marty Sader,Most High (2004)
Feroz (I) Khan,Janasheen (2003)
Karl Markovics,Atmen (2011)
Adam (I) Brooks,The Invisible Circus (2001)
Shun'ichi Hirano,Kaidan Shin Mimibukuro: Gekijô-ban (2004),Tôkyô shônen (2008),Good Luck!! (2003),Kurosagi (2006)
Michael Keusch,Autobahnraser (2004)
Dori Oskowitz,Life Is Short (2006)
Charlotte (I) Boisson,Get Out (2009)
Ricardo (IV) Maldonado,¡Asu Mare! (2013),¡Asu Mare! 2 (2015)
Akira Hara,Genshiken (2004)
Juan José Jusid,Apasionados (2002)
Christopher (II) Denham,Home Movie (2008/II),Preservation (2014)
Joe (II) Raffa,6 Degrees of Hell (2012)
Bradley Scott Sullivan,I Didn't Come Here to Die (2010)
Geoffrey Haley,The Last Word (2008/I),The Parlor (2001)
Stephen Maddocks,Robodoc (2009)
John (IV) Walsh,Pipe Dream (2002)
Lucas Elliot Eberl,Choose Connor (2007)
Egidio Coccimiglio,Compulsion (2013/I)
Franck Magnier,Boule & Bill (2013),Imogène McCarthery (2010)
Ivan Calbérac,Irène (2002),On va s'aimer (2006)
Anne Wheeler,Edge of Madness (2002),Knockout (2011),Suddenly Naked (2001),The Bouquet (2013)
Chris (VI) Gaunt,None of the Above (2013)
Carlton Sherwood,Stolen Honor: Wounds That Never Heal (2004)
Cem Yilmaz,A.R.O.G (2008),Hokkabaz (2006),Pek Yakinda (2014)
Pavel Chukhray,Russkaya igra (2007),Voditel dlya Very (2004),Broken Silence (2002)
Toni (I) Myers,Hubble 3D (2010),Space Station 3D (2002)
Dominik Moll,Le moine (2011),Lemming (2005),The Tunnel (2013)
David (II) Worth,Hazard Jack (2014),Honor (2006),House at the End of the Drive (2014)
Brett Heard,Stag (2013)
Thomas Steen Sørensen,The Horror Vault (2008)
Jasmin Durakovic,Nafaka (2006),Sevdah za Karima (2010)
Syd Garon,Wave Twisters (2001)
Gene Rhee,The Trouble with Romance (2007)
Michael (I) Mann,Ali (2001),Blackhat (2015),Collateral (2004),Miami Vice (2006),Public Enemies (2009)
Line (I) Halvorsen,USA vs Al-Arian (2007)
Kevin (I) Goetz,Scenic Route (2013)
Franck (I) Richard,La meute (2010)
Christopher Roosevelt,The Demented (2013)
Gregg Kavet,Live Free or Die (2006)
Yaz Rabadi,Karim (2007)
Jorge (I) Ramírez Suárez,Amar (2009),Conejo en la luna (2004),Los inadaptados (2011)
Steven Zaillian,All the King's Men (2006)
Daniel Krige,Redd Inc. (2012),West (2007)
Frederico Serra,Coisa Ruim (2006)
Sarah Schenck,Slippery Slope (2006)
Francine McDougall,Sugar & Spice (2001)
Patrick Grandperret,Meurtrières (2006)
Alek Gearhart,Joker Rising (2013),Ridge War Z (2013)
Tsz-ho Lam,Jeuk sing 3 gi ji mor saam bak faan (2007)
Maren Ade,Alle Anderen (2009),Der Wald vor lauter Bäumen (2003)
Aleksandr (I) Petrov,Moya lyubov (2006)
Pierre Thoretton,L'amour fou (2010/II)
Miguel Ferrari,Azul y no tan rosa (2012)
